1	0	4	not
2	0	8	not
3	0	12	not
4	0	16	not
5	0	20	not
6	0	24	not
7	0	28	not
8	0	32	not
9	0	36	not
10	0	40	not
11	0	44	not
12	0	48	not
13	0	52	not
14	0	56	not
15	0	60	not
16	0	64	not
17	0	68	not
18	0	72	not
19	0	76	not
20	0	80	not
21	3	4	xor
22	3	8	xor
23	3	12	xor
24	3	16	xor
25	3	20	xor
26	3	24	xor
27	3	28	xor
28	3	32	xor
29	3	36	xor
30	3	40	xor
31	3	44	xor
32	3	48	xor
33	3	52	xor
34	3	56	xor
35	3	60	xor
36	3	64	xor
37	3	68	xor
38	3	72	xor
39	3	76	xor
40	3	80	not
41	6	4	xor
42	6	8	xor
43	6	12	xor
44	6	16	xor
45	6	20	xor
46	6	24	xor
47	6	28	xor
48	6	32	xor
49	6	36	xor
50	6	40	xor
51	6	44	xor
52	6	48	xor
53	6	52	xor
54	6	56	xor
55	6	60	xor
56	6	64	xor
57	6	68	xor
58	6	72	xor
59	6	76	xor
60	6	80	not
61	9	4	xor
62	9	8	xor
63	9	12	xor
64	9	16	xor
65	9	20	xor
66	9	24	xor
67	9	28	xor
68	9	32	xor
69	9	36	xor
70	9	40	xor
71	9	44	xor
72	9	48	xor
73	9	52	xor
74	9	56	xor
75	9	60	xor
76	9	64	xor
77	9	68	xor
78	9	72	xor
79	9	76	xor
80	9	80	not
81	12	4	xor
82	12	8	xor
83	12	12	xor
84	12	16	xor
85	12	20	xor
86	12	24	xor
87	12	28	xor
88	12	32	xor
89	12	36	xor
90	12	40	xor
91	12	44	xor
92	12	48	xor
93	12	52	xor
94	12	56	xor
95	12	60	xor
96	12	64	xor
97	12	68	xor
98	12	72	xor
99	12	76	xor
100	12	80	not
101	15	4	xor
102	15	8	xor
103	15	12	xor
104	15	16	xor
105	15	20	xor
106	15	24	xor
107	15	28	xor
108	15	32	xor
109	15	36	xor
110	15	40	xor
111	15	44	xor
112	15	48	xor
113	15	52	xor
114	15	56	xor
115	15	60	xor
116	15	64	xor
117	15	68	xor
118	15	72	xor
119	15	76	xor
120	15	80	not
121	18	4	xor
122	18	8	xor
123	18	12	xor
124	18	16	xor
125	18	20	xor
126	18	24	xor
127	18	28	xor
128	18	32	xor
129	18	36	xor
130	18	40	xor
131	18	44	xor
132	18	48	xor
133	18	52	xor
134	18	56	xor
135	18	60	xor
136	18	64	xor
137	18	68	xor
138	18	72	xor
139	18	76	xor
140	18	80	not
141	21	4	xor
142	21	8	xor
143	21	12	xor
144	21	16	xor
145	21	20	xor
146	21	24	xor
147	21	28	xor
148	21	32	xor
149	21	36	xor
150	21	40	xor
151	21	44	xor
152	21	48	xor
153	21	52	xor
154	21	56	xor
155	21	60	xor
156	21	64	xor
157	21	68	xor
158	21	72	xor
159	21	76	xor
160	21	80	not
161	24	4	xor
162	24	8	xor
163	24	12	xor
164	24	16	xor
165	24	20	xor
166	24	24	xor
167	24	28	xor
168	24	32	xor
169	24	36	xor
170	24	40	xor
171	24	44	xor
172	24	48	xor
173	24	52	xor
174	24	56	xor
175	24	60	xor
176	24	64	xor
177	24	68	xor
178	24	72	xor
179	24	76	xor
180	24	80	not
181	27	4	xor
182	27	8	xor
183	27	12	xor
184	27	16	xor
185	27	20	xor
186	27	24	xor
187	27	28	xor
188	27	32	xor
189	27	36	xor
190	27	40	xor
191	27	44	xor
192	27	48	xor
193	27	52	xor
194	27	56	xor
195	27	60	xor
196	27	64	xor
197	27	68	xor
198	27	72	xor
199	27	76	xor
200	27	80	not
201	30	4	xor
202	30	8	xor
203	30	12	xor
204	30	16	xor
205	30	20	xor
206	30	24	xor
207	30	28	xor
208	30	32	xor
209	30	36	xor
210	30	40	xor
211	30	44	xor
212	30	48	xor
213	30	52	xor
214	30	56	xor
215	30	60	xor
216	30	64	xor
217	30	68	xor
218	30	72	xor
219	30	76	xor
220	30	80	not
221	33	4	xor
222	33	8	xor
223	33	12	xor
224	33	16	xor
225	33	20	xor
226	33	24	xor
227	33	28	xor
228	33	32	xor
229	33	36	xor
230	33	40	xor
231	33	44	xor
232	33	48	xor
233	33	52	xor
234	33	56	xor
235	33	60	xor
236	33	64	xor
237	33	68	xor
238	33	72	xor
239	33	76	xor
240	33	80	not
241	36	4	xor
242	36	8	xor
243	36	12	xor
244	36	16	xor
245	36	20	xor
246	36	24	xor
247	36	28	xor
248	36	32	xor
249	36	36	xor
250	36	40	xor
251	36	44	xor
252	36	48	xor
253	36	52	xor
254	36	56	xor
255	36	60	xor
256	36	64	xor
257	36	68	xor
258	36	72	xor
259	36	76	xor
260	36	80	not
261	39	4	xor
262	39	8	xor
263	39	12	xor
264	39	16	xor
265	39	20	xor
266	39	24	xor
267	39	28	xor
268	39	32	xor
269	39	36	xor
270	39	40	xor
271	39	44	xor
272	39	48	xor
273	39	52	xor
274	39	56	xor
275	39	60	xor
276	39	64	xor
277	39	68	xor
278	39	72	xor
